Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude,Region,Hotel_Size_Category,Hotel_Type
CINNAMON CITADEL,"NO.124, SRIMATH KUDA RATWATTA MAWATHA, KANDY",121,3,Kandy,Kandy,Kandy Divisional Secretariat,80.624274,7.305864,Central,Medium,Mid-range
HERITANCE AHUNGALLE,AHUNGALLE,154,5,Galle,Galle,Galle Divisional Secretariat,80.034536,6.31218,Southern,Medium,Other
HERITANCE TEA FACTORY,"KANDAPOLA, NUWARAELIYA",57,4,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.833796,6.991101,Central,Small,Other
BENTOTA BEACH HOTEL,"NATIONAL HOLIDAY RESORT, BENTOTA",133,4,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.996543,6.424974,Southern,Medium,Other
THE BLUE WATER,"THALPITIYA, WADDUWA",100,5,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.920159,6.678167,Western,Medium,Other
GRAND HOTEL,"GRAND HOTEL ROAD, NUWARAELIYA",155,4,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.764731,6.968335,Central,Medium,Other
AMAYA LAKE,"P.O. BOX. 12, KANDALAMA, DAMBULLA",92,4,Matale,Matale,Matale Divisional Secretariat,80.698555,7.891526,Central,Small,Other
AMAYA HILLS,"P.O. BOX. 16, HEERASSAGALA, KANDY",100,4,Kandy,Kandy,Kandy Divisional Secretariat,80.619224,7.259008,Central,Medium,Other
HILTON COLOMBO RESIDENCE,"NO. 200, UNION PLACE, COLOMBO 02",176,4,Colombo,Colombo,Colombo Divisional Secretariat,79.856131,6.920386,Western,Medium,Other
MANDARA ROSEN HOTEL,"NO.57, DETAGAMUWA, KATARAGAMA",58,4,Moneragala,Galle,Moneragala Divisional Secretariat,81.326364,6.401201,,Small,Other
RAMADA - COLOMBO,"NO.30, SIR MOHAMED MACAN MARKAR MAWATHA, COLOMBO 03",94,3,Colombo,Colombo,Colombo Divisional Secretariat,79.84778,6.921261,Western,Small,Other
PEGASUS REEF HOTEL,"P.O.BOX. 02, HENDALA, WATTALA",140,4,Gampaha,Gampaha,Gampaha Divisional Secretariat,79.868917,6.999892,Western,Medium,Other
MOUNT LAVINIA HOTEL,"NO. 100, HOTEL ROAD, MT. LAVINIA",204,4,Colombo,Colombo,Colombo Divisional Secretariat,79.862043,6.833151,Western,Medium,Other
CLUB PALM BAY,"THALWILAWILIA, THUDUWAWA, MARAWILA",162,3,Puttalam,Puttalam Pradeshiya Sabha,Puttalam Divisional Secretariat,79.812589,7.434188,North Western,Medium,Mid-range
CLUB HOTEL DOLPHIN,"KAMMAL SOUTH, WAIKKAL",151,4,Puttalam,Wennappuwa Pradeshiya Sabha,Wennappuwa Divisional Secretariat,79.839576,7.293789,North Western,Medium,Other
JETWING BLUE,"LEWIS PLACE, NEGOMBO",108,5,Gampaha,Negombo,Negombo Divisional Secretariat,79.841797,7.241616,Western,Medium,Other
THE DEER PARK HOTEL,"GIRITALE, POLONNARUWA",85,4,Polonnaruwa,Polonnaruwa,Polonnaruwa Divisional Secretariat,80.9218,7.989152,North Central,Small,Other
NILAVELI BEACH HOTEL,"11TH MILE POST, NILAVELI, TRINCOMALEE",53,2,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,81.189426,8.706269,Eastern,Small,Budget
SOROWWA RESORT AND SPA,"LAKE ROAD, HABARANE",23,3,Anuradhapura,Polonnaruwa,Polonnaruwa Divisional Secretariat,80.7508775,8.0405578,North Central,Small,Other
PALM BEACH HOTEL,"NO. 52, DE SERAM ROAD, MOUNT LAVINIA",43,1,Colombo,Dehiwala-Mount Lavinia,Colombo Divisional Secretariat,79.864858,6.836241,Western,Small,Budget
GALWAY FOREST LODGE,"NO. 89, UPPER LAKE ROAD, HAVELOCK DRIVE, NUWARA ELIYA.",52,3,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.769993,6.980005,Central,Small,Other
SENANI RESTAURANT,"NO 167, RAJAPIHILLA MAWATHA, KANDY.",27,1,Kandy,Kandy,Kandy Divisional Secretariat,80.643433,7.285218,Central,Small,Budget
GLOBAL TOWERS HOTEL,"NO.11, STATION AVENUE, COLOMBO 06.",54,3,Colombo,Colombo,Colombo Divisional Secretariat,79.857182,6.877516,Western,Small,Other
HUNNAS FALLS HOTEL,"ELKADUWA, KANDY",31,3,Matale,Matale,Ukuwela Divisional Secretariat,80.690599,7.401023,Central,Small,Other
GRAND ORIENTAL HOTEL,"NO.2, YORK STREET, COLOMBO 01.",72,2,Colombo,Colombo,Colombo Divisional Secretariat,79.845067,6.937474,Western,Small,Budget
OLENKA SUNSIDE BEACH HOTEL,"THALWILA, MODERAWELLA, MARAWILA",40,2,Puttalam,Gampaha,Gampaha Divisional Secretariat,79.813377,7.42604,North Western,Small,Budget
HOTEL SIGIRIYA,SIGIRIYA,80,1,Matale,Matale,Matale Divisional Secretariat,80.763363,7.949891,Central,Small,Budget
THE OASIS HOTEL,"SISILASGAMA, HAMBANTOTA.",50,3,Hambantota,Hambantota,Hambantota Divisional Secretariat,81.123001,6.122001,Southern,Small,Other
ST.ANDREWS HOTEL,"NO.10,ST.ANDREWS DRIVE,NUWARA ELIYA.",52,3,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.763855,6.979589,Central,Small,Other
CLUB BENTOTA,"PARADISE ISLAND,ALUTHGAMA.",68,2,Galle,Aluthgama,Aluthgama,79.991648,6.437361,Southern,Small,Budget
JETWING SEA,"PALAGITURAI, KOCHCHIKADE, NEGOMBO.",72,4,Gampaha,Gampaha,Negombo Divisional Secretariat,79.84212,7.25177,Western,Small,Other
RANWELI HOLIDAY VILLAGE,WAIKKAL.,84,2,Puttalam,Negombo,Negombo Divisional Secretariat,79.840701,7.282694,North Western,Small,Budget
MISUKI PLAZA HOTEL,"NO.309,COLOMBO ROAD,WELISARA,RAGAMA.",26,1,Gampaha,Ja-Ela Pradeshiya Sabha,Ja-Ela Divisional Secretariat,79.898618,7.033237,Western,Small,Budget
TANGALLE BAY HOTELS,"MAHAWELA ROAD,PALLIKKUDUWA,TANGALLE.",28,2,Hambantota,Tangalle Pradeshiya Sabha,Tangalle Divisional Secretariat,80.789152,6.01689,Southern,Small,Budget
THE SURF,THE SURF BENTOTA.,86,2,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.996111,6.420273,Southern,Small,Budget
VIVANTA BY TAJ-BENTOTA,"NATIONAL HOLIDAY RESORT, BENTOTA",162,5,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.996423,6.417162,Southern,Medium,Other
GOLDI SANDS HOTEL,"GOLDI SANDS HOTELS (PRIVATE) LIMITED, ETHUKALA, NEGOMBO",70,2,Gampaha,Negombo,Negombo Divisional Secretariat,79.841745,7.245416,Western,Small,Budget
